Shoe,"D874,103",,"Matsuo; Edson (Porto Alegre, BR)",Grendene S/A,"Current U.S. Class: D2/944; D2/900; D2/908 Current International Class: 0202 Field of Search: ;D2/906-908,943-947,950,962,969,972-974,976-978",Grendene S/A,BR,No other references field
Pneumatic brake booster having a recessed bearing surface,"10,543,823",B60T 13/567 (20130101); B60T 13/52 (20130101),"B60T 13/567 (20060101); B60T 13/52 (20060101)Faller; Jurgen (Kahl, DE), Muniz; Juliano (Sao Paulo, BR), Ladeira; Gustavo (Sao Paulo, BR), Gaiotto; Fabio (Jardim das Hort nsias, BR), Ideriha; Marcelo (Bairro Vila D. Pedro I, BR), Araujo; Fabio (Sao Paulo, BR)",Continental Teves AG & Co. oHG,"In order to minimize spreading, without additional parts, of connecting bolts of a pneumatic brake booster in a manner which is brought about by the deformation of a bearing surface on a booster housing before and during its assembly on a provided vehicle body part, it is proposed that the bearing surface is assigned a planar surface section in an immediately adjacent manner which is configured so as to be plane-parallel with respect to the bearing surface and so as to be axially inwardly recessed on the booster housing with a circumferential step.",Continental Teves AG & Co. oHG,DE,No other references field

Salts of tetracyclines,"10,543,298",A61L 31/16 (20130101); C07C 237/26 (20130101); C07C 231/12 (20130101); C07C 237/26 (20130101); C07C 231/12 (20130101); A61L 29/16 (20130101); A61K 31/65 (20130101); A61L 2300/406 (20130101); A61L 2300/41 (20130101),"A61L 29/16 (20060101); A61L 31/16 (20060101); C07C 237/26 (20060101); C07C 231/12 (20060101); A61K 31/65 (20060101)Sobral; Luis (Loures, PT), Santana De Arruda; Livia (Rio de Janeiro, BR), Figueiredo; Margarida (Pinhal Novo, PT), Antunes; Rafael (Setubal, PT), Filipe; Ana Paula (Loures, PT)",Hovione Scientia Limited,"A tetracycline salt comprising a tetracycline and an organic acid wherein the organic acid is oxalic acid or maleic acid is provided. The tetracycline is preferably doxycycline, minocycline, sancycline, lymecycline, tetracycline or demeclocycline, and preferred salts include oxycycline maleate, minocycline oxalate, tetracycline oxalate, demeclocycline maleate, demeclocycline oxalate, sancycline maleate, lymecycline maleate, or lymecycline oxalate. A pharmaceutical formulation comprising a tetracycline salt according to the invention is also provided, as is a medical device having coated thereon a salt or pharmaceutical formulation according to the invention. A salt of the invention, or a formulation of the invention are also provided for use as medicaments, particularly for use in the treatment or prevention of an inflammation and/or an infection. There is also provided a method of preparing a tetracycline salt, which method comprises reacting a tetracycline base with an excess of an organic acid in a solvent.",Hovione Scientia Limited,IE,No other references field

Agricultural tilting bearing assembly and improved support bracket for connecting the same to agricultural equipment,"10,542,659",F16C 19/54 (20130101); A01B 76/00 (20130101); A01B 71/04 (20130101); F16C 11/02 (20130101); F16C 35/06 (20130101); F16C 19/364 (20130101); F16M 13/02 (20130101); F16C 33/7813 (20130101); F16C 33/664 (20130101); F16C 33/66 (20130101); F16C 2310/00 (20130101),"A01B 76/00 (20060101); F16C 33/78 (20060101); F16C 35/06 (20060101); F16C 19/36 (20060101); F16M 13/02 (20060101); F16C 33/66 (20060101)Marchesan; Jose Luiz Alberto (Matao-SP, BR)",Marchesan Implementos E Maquinas Agricolas Tatu S.A.,"An improved tilting bearing assembly (100) is provided that includes a support bracket and a tilting bearing; the support bracket and the tilting bearing, along with methods of replacing the same are also provided. The support bracket generally comprises a substantially planar upper portion lying in a first plane and having two opposing ends and a pair of elongated openings, each elongated opening extending in a first direction entirely through the upper portion of the support and having a closed end and an opposing open end, the closed end of each elongated opening being equidistant from respective ones of the two opposing ends; and two opposing leg portions, each leg portion projecting at an angle relative to the first plane, extending at respective upper ends of each leg portion from one of the two opposing ends of the upper portion and terminating at respective lower ends of each leg portion.",Marchesan Implementos E Maquinas Agricolas Tatu S.A.,BR,No other references field

Flask,"D873,140",,"Torres; Alexandre Henrique (Sao Paulo, BR), Zanelatti; Mateus Henrique (Sao Paulo, BR), de Araujo; Thamires Fernandes (Sao Paulo, BR)",Natura Cosmeticos S.A.,"Current U.S. Class: D9/500 Current International Class: 0901 Field of Search: ;D9/434-435,454,500,503-505,516,545,549,558,682,690,715,719",NATURA COSMETICOS S.A.,BR,No other references field

Systems and methods for automatically generating top level index files,"10,542,061",H04N 21/8352 (20130101); H04L 65/602 (20130101); H04N 21/2393 (20130101); H04N 21/26258 (20130101); H04N 21/25825 (20130101); H04L 65/4069 (20130101); H04N 21/2541 (20130101); H04N 21/25841 (20130101); G06F 21/10 (20130101); H04L 65/60 (20130101); H04N 21/47202 (20130101); H04N 21/6581 (20130101); H04L 67/06 (20130101); H04N 21/2385 (20130101); H04L 63/0428 (20130101),"H04L 29/06 (20060101); H04N 21/254 (20110101); G06F 21/10 (20130101); H04L 29/08 (20060101); H04N 21/2385 (20110101); H04N 21/262 (20110101); H04N 21/8352 (20110101); H04N 21/658 (20110101); H04N 21/472 (20110101); H04N 21/258 (20110101); H04N 21/239 (20110101)Braness; Jason (San Diego, CA), Wallin; Evan (San Diego, CA), Ferreira; Ederson (Campinas/SP, BR)","DIVX, LLC","Systems and methods for automatically generating top level index files for use in adaptive bitrate streaming in accordance with embodiments of the invention are disclosed. One embodiment of the method of the invention includes receiving a request from a playback device at a playback server, where the request identifies a piece of content, retrieving a list of assets associated with the identified piece of content using the playback server, filtering the list of assets using at least one predetermined criterion using the playback server, generating a top level index file describing each asset in the filtered list of assets using the playback server, and sending the top level index file to the playback device using the playback server.","DIVX, LLC",US,No other references field

Distributed digital ledger,"10,541,820",H04L 9/3252 (20130101); H04L 9/3247 (20130101); G06F 21/64 (20130101); H04L 9/302 (20130101); G06F 21/602 (20130101); H04L 9/3239 (20130101); H04L 9/3013 (20130101); H04L 9/3249 (20130101); H04L 2209/38 (20130101),"G06F 21/64 (20130101); H04L 9/32 (20060101); H04L 9/30 (20060101); G06F 21/60 (20130101)Takada Chino; Fabio Jun (Sao Paulo, BR), Orsi; Ricardo (Sao Paulo, BR), Ferraz; Cesar Luiz (Sao Paulo, BR)",Global Bonsai LLC,"Methods and systems for generating a new record in a digital ledger include hashing a payload, public key, and signature of a parent record to generate a hash value. A new record is created with a new payload and a new public key. The hash value is combined with the new payload and the new public key to generate a message value. A signature of the new record is generated using the message value and a private key corresponding to the public key of the parent record. The signature of the new record is added to the new record.",GLOBAL BONSAI LLC,US,"International Search Report for PCT/US2018/044302 dated Dec. 12, 2018 (4 pages). cited by applicant . Bernstein et al., High-speed high-security signatures, J. Cryptogr.Eng., Aug. 2012. cited by applicant . ElGamal, A Public Key Cryptosystem and a Signature Scheme Based on Discrete Logarithms, IEEE Transactions on Information Theory, Jul. 1985. cited by applicant . FIP S PUB 180-4 Secure Hash Standard, National Institute of Standards and Technology, Aug. 2015. cited by applicant . Jakobsson et al., Proofs of Work and Bread Pudding Protocols, Secure Information Networks, Sep. 1999. cited by applicant . Jonsson et al., Public-Key Cryptography Standards (PKCS) #1: RSA Cryptography Specifications Version 2.1, IEFT, Feb. 2003. cited by applicant . Kerry et al., Digital Signature Standard (DSS), Information Technology Laboratory, National Institute of Standards and Technology, Jul. 2013. cited by applicant . Krawczyk et al., HMAC: Keyed-Hashing for Message Authentication, IEFT, Feb. 1997, https://tools.ieft.org/html/rfc2014 accessed Feb. 3, 2016. cited by applicant . Nakamoto, Bitcoin: A Peer-to-Peer Electronic Cash System, Oct. 2008. cited by applicant . Rijmen et al., The Whirlpool Hash Function, http://www.larc.usp.br/.about.pbarreto/WhirlpoolPage.html, Accessed May 17, 2017. cited by applicant . Swenson, NIST Selects Winner of Secure Hash Algorithm (SHA-3) Competition, National Institute of Standards and Technology, Oct. 2012. cited by applicant . Zimmerman, Why I wrote PGP, Part of the Original 1991 PGP User's Guide (updated in 1999), https://www.philzimmermann.com/EN/essays/WhyIWrotePGP.html, Accessed Jun. 2, 2017. cited by applicant . Hearn, The resolution of the Bitcoin experiment,--Mike's blog, https://blog.plan99.net/the-resolution-of-the-bitcoin-experiment-dabb3020- 1f7, Accessed May 10, 2017. cited by applicant."

Impact suppressor,"10,539,398",B32B 3/28 (20130101); B32B 27/36 (20130101); B32B 27/40 (20130101); B32B 5/18 (20130101); B32B 27/12 (20130101); B32B 27/32 (20130101); B32B 27/065 (20130101); F41H 5/04 (20130101); B32B 27/08 (20130101); B32B 27/34 (20130101); B32B 5/028 (20130101); F41H 5/0478 (20130101); B32B 2262/0223 (20130101); B32B 2307/56 (20130101); B32B 2571/02 (20130101); B32B 2262/0276 (20130101); F41H 1/02 (20130101); B32B 2250/24 (20130101); B32B 2266/0278 (20130101),"F41H 5/04 (20060101); F41H 1/02 (20060101); B32B 3/28 (20060101); B32B 27/40 (20060101); B32B 27/34 (20060101); B32B 27/36 (20060101); B32B 27/32 (20060101); B32B 27/08 (20060101); B32B 27/12 (20060101); B32B 27/06 (20060101); B32B 5/02 (20060101); B32B 5/18 (20060101)Rodrigues; Nildson de Souza (Sobradinho-Distrito Federal, BR)",Rodrigues; Nildson de Souza,"Disclosed herein are multiple implementations of impact suppressors. Each impact suppressor is formed of multiple polymer layers. In implementations each polymer layer is one of the following: a solid polymer layer, a flat foam polymer layer, a corrugated polymer layer, and/or a peak-and-valley shaped polymer layer. The impact suppressors are configured to be worn by a user below a bullet-proof vest to reduce the impact force from an impact, such as from a bullet or other projectile hitting the bullet-proof vest, thus reducing the likelihood of injury and/or bruising.",65359929,BR,"Testing in Brazil: a version of the impact suppressor invented by the inventor Nildson de Souza Rodrigues. The exterior of this impact suppressor, and the general impact suppressing properties, were observed by the testers who Tested the impact suppressor in Brazil on Jun. 29, 2016. No interior layers were observed or disclosed. cited by applicant."

Vacuum condensation system by using evaporative condenser and air removal system coupled to condensing turbines in thermoelectric plants,"10,539,370",F28B 1/06 (20130101); F28B 9/10 (20130101); F28D 5/02 (20130101); F28B 9/08 (20130101); F28B 9/02 (20130101); F28B 2001/065 (20130101),"F28B 1/06 (20060101); F28B 9/02 (20060101); F28B 9/08 (20060101); F28B 9/10 (20060101); F28D 5/02 (20060101)Sampaio; Paulo Henrique (Araraquara, BR)",CITROTEC IND STRIA E COMERCIO LTDA,"A VACUUM CONDENSATION SYSTEM BY USING EVAPORATIVE CONDENSER AND AIR REMOVAL SYSTEM COUPLED TO CONDENSING TURBINES IN THERMOELECTRIC PLANTS, made of stainless steel, metal alloys or other materials. This condensing system includes an evaporative condenser, air removal ejector system and condensers, turbine exhaust steam collector system with pipelines, collection and return systems of the condensate to the boiler. The exhaust steam generated in the turbine is driven by steam collector system, condensed in the evaporative condenser, and the air is removed from the system by the air removal (ejectors) and the condensed air is returned to the boiler by the condensed system.",CITROTEC IND STRIA E COMERCIO LTDA,BR,"International Search Report and Written Opinion dated Mar. 22, 2016 of corresponding application No. PCT/IB2015/058711; 7 pgs. cited by applicant . International Preliminary Report on Patentability dated Mar. 21, 2017 of corresponding application No. PCT/IB2015/058711; 4 pgs. cited by applicant."

Multi-evaporation cooling system,"10,539,341",F25B 5/02 (20130101); F25B 41/003 (20130101); F25B 2400/054 (20130101); F25B 2400/052 (20130101); F25B 2400/075 (20130101); F25B 41/067 (20130101); F25B 2313/02531 (20130101); F25B 2313/02331 (20130101),"F25B 5/02 (20060101); F25B 41/00 (20060101); F25B 41/06 (20060101)Lilie; Dietmar Erich Bernhard (Joinville, BR), Montagner; Gustavo Portella (Joinville, BR)",Whirlpool S.A.,A multiple-evaporation cooling system in which the intermediate heat exchanger of first evaporation line includes at least a segment of the physically arranged expansion device in contact with at least a portion of the second row of evaporation and the intermediate heat exchanger's second evaporative line includes at least one expansion device segment physically disposed in contact with at least one portion of a first evaporation line. Considering the temperature of the intermediate heat exchanger of first evaporation line influences the temperature of the refrigerant flowing in the second line of evaporative expansion device and the temperature of the intermediate heat exchanger of the second evaporative line influences the temperature of the refrigerant flowing in the first line of evaporative expansion device. Features include varying the restriction of the respective expansion devices and then unduly inhibit mass transfer of refrigerant between at least two distinct evaporation.,Embraco--Industria De Compressores E Solucoes EM Refrigeracao LTDA.,BR,No other references field

Acoustic filter for compressor,"10,539,126",F04B 39/16 (20130101); F04B 39/0072 (20130101); F04B 39/0061 (20130101); F04B 39/0055 (20130101); F04B 39/123 (20130101),"F04B 39/00 (20060101); F04B 39/16 (20060101); F04B 39/12 (20060101)Doi; Ricardo Mikio (Joinville, BR), Lohn; Sergio Koerich (Florianopolis, BR)",Whirlpool S.A.,"Reduction of noise produced by hermetic compressors. The acoustic filter includes an inlet duct, an outlet duct and a main chamber. The inlet duct includes a refrigerant fluid inlet and a refrigerant fluid delivery end. The refrigerant fluid delivery end is opposite to the refrigerant fluid inlet and it is capable of guiding the refrigerant fluid to the main chamber. The outlet duct includes a refrigerant fluid outlet and a refrigerant fluid collection end. The refrigerant fluid collection end is opposite to the refrigerant fluid outlet for guiding the refrigerant fluid from the main chamber to the fluid outlet. The filter includes a resonator chamber arranged adjacent to the inlet duct and adjacent to the main chamber. The resonator chamber and the inlet duct are fluidically connected by a resonator tube and the resonator chamber is separated from the main chamber by a sealing wall.",Embraco--Industria De Compressores E Solucoes EM Refrigeracao Ltda.,BR,No other references field
